slug,template
gov_supervisory_oversight_supervisory_reporting,template_1
gov_supervisory_oversight_supervisory_workflows,template_2
gov_supervisory_oversight_supervisory_operating_layer,template_6
gov_supervisory_oversight_market_visibility,template_7
gov_supervisory_oversight_multi_entity_monitoring,template_11
gov_supervisory_oversight_licensing_framework,template_16
gov_supervisory_oversight_risk_based_supervision,template_20
gov_supervisory_oversight_regulatory_decision_support,template_21
gov_supervisory_oversight_continuous_supervisory_visibility,template_22
gov_supervisory_oversight_evidence_escalation_layer,template_17
gov_supervisory_oversight_supervisory_dashboard,template_5
gov_supervisory_oversight_vasp_oversight,template_10
gov_travel_rule_and_transaction_monitoring_suspicious_activity,template_15
gov_travel_rule_and_transaction_monitoring_wallet_tracking,template_3
gov_travel_rule_and_transaction_monitoring_ivms101_message_review,template_4
gov_travel_rule_and_transaction_monitoring_sanctions_screening,template_8
gov_travel_rule_and_transaction_monitoring_transaction_visibility,template_9
gov_travel_rule_and_transaction_monitoring_cross_border_flows,template_12
gov_travel_rule_and_transaction_monitoring_transaction_investigation,template_13
gov_travel_rule_and_transaction_monitoring_counterparty_verification,template_14
gov_travel_rule_and_transaction_monitoring_real_time_alerting,template_18
gov_travel_rule_and_transaction_monitoring_risk_scoring,template_19
gov_travel_rule_and_transaction_monitoring_vasp_messaging,template_23
gov_travel_rule_and_transaction_monitoring_data_exchange,template_24
gov_fiu_aml_intelligence_digital_asset_intelligence,template_1
gov_fiu_aml_intelligence_suspicious_transaction_reporting,template_2
gov_fiu_aml_intelligence_digital_asset_evidence_package,template_6
gov_fiu_aml_intelligence_crypto_sar_str_reporting,template_7
gov_fiu_aml_intelligence_aml_case_management,template_11
gov_fiu_aml_intelligence_goaml_integration,template_16
gov_aml_fiu_infrastructure_alert_management,template_20
gov_aml_fiu_infrastructure_investigation_workflows,template_21
gov_aml_fiu_infrastructure_entity_risk_analysis,template_22
gov_aml_fiu_infrastructure_compliance_escalation,template_17
gov_aml_fiu_infrastructure_enforcement_actions,template_5
gov_aml_fiu_infrastructure_data_aggregation,template_10
gov_aml_fiu_infrastructure_aml_authority_oversight,template_15
gov_aml_fiu_infrastructure_audit_ready_logs,template_3
gov_aml_fiu_infrastructure_reporting_pipeline,template_4
gov_emerging_asset_supervision_tokenized_assets_supervision,template_8
gov_emerging_asset_supervision_tokenized_securities_compliance,template_9
