gov_supervisory_oversight_supervisory_reporting,Government oversight capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_supervisory_workflows,Digital asset supervision capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_supervisory_operating_layer,Supervisory infrastructure capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_market_visibility,Regulatory oversight capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_multi_entity_monitoring,VASP supervision capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_licensing_framework,Market supervision capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_risk_based_supervision,Sovereign oversight capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_regulatory_decision_support,Government oversight capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_continuous_supervisory_visibility,Digital asset supervision capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
gov_supervisory_oversight_evidence_escalation_layer,Supervisory infrastructure capabilities,VASP Supervision,"Market participants, licensing data and risk profiles",KYT Monitoring,"Wallets, transactions and exposure across the market",Travel Rule,Originator and beneficiary data checked for completeness,Case Management,"Alerts, investigations and supervisory actions",Sovereign Deployment,On-premise or private cloud for sensitive data,Reporting,"Supervisory outputs, evidence and regulatory reports"
